time_s,transmit_positive,transmit_negative,measured_positive,measured_negative,pulse_inversion_half_sum,recovered_harmonic,validation_true_nonlinear
0.0,9.425614132148133e-58,-9.425614132148133e-58,-0.014302661967121986,-0.0061999370189241955,-0.010251299493023091,-0.010251299493023091,-0.0004698330411485254
2.5e-08,1.7083875853401973e-43,-1.7083875853401973e-43,-0.010688847542293715,0.016439351759801928,0.0028752521087541064,0.0028752521087541064,-0.0004698328222294401
5e-08,6.519289409738789e-43,-6.519289409738789e-43,-0.004311159396033409,-0.015117313393595651,-0.00971423639481453,-0.00971423639481453,-0.0004698326039445583
7.5e-08,1.795688565348987e-42,-1.795688565348987e-42,-0.004578546027764928,-0.01577639608635341,-0.010177471057059169,-0.010177471057059169,-0.00046983238629254753
1e-07,4.213914879940376e-42,-4.213914879940376e-42,0.0022741691042825634,-0.0009257726999820243,0.0006741982021502696,0.0006741982021502696,-0.0004698321692720794
1.25e-07,8.822664357494427e-42,-8.822664357494427e-42,-0.014007736437633927,0.005273014649347945,-0.004367360894142991,-0.004367360894142991,-0.00046983195288182686
1.5e-07,1.6666356654021181e-41,-1.6666356654021181e-41,-0.009567484223368464,0.0011375817784967073,-0.0042149512224358785,-0.0042149512224358785,-0.0004698317371204607
1.75e-07,2.808929520639957e-41,-2.808929520639957e-41,-0.024252821764401206,0.02571242764304754,0.000729802939323166,0.000729802939323166,-0.0004698315219866489
2e-07,4.033341536496514e-41,-4.033341536496514e-41,0.02860243523083867,0.02468519425584382,0.026643814743341244,0.026643814743341244,-0.00046983130747907034
2.25e-07,4.18028659313079e-41,-4.18028659313079e-41,-0.0025611286272782413,-0.0023019779483084125,-0.002431553287793327,-0.002431553287793327,-0.00046983109359641586
2.5e-07,-1.8247047557721106e-54,1.8247047557721106e-54,-0.04657972063503607,-0.009884014790589556,-0.028231867712812813,-0.028231867712812813,-0.00046983088033738396
2.75e-07,-1.612514422997382e-40,1.612514422997382e-40,-0.02640088413784348,-0.0056835945386401595,-0.01604223933824182,-0.01604223933824182,-0.0004698306677006916
3e-07,-6.00150400178555e-40,6.00150400178555e-40,-0.028153094484667587,0.013046458626868016,-0.007553317928899786,-0.007553317928899786,-0.000469830455685064
3.25e-07,-1.6122541150462116e-39,1.6122541150462116e-39,-0.017542712244133275,-0.014598780452239966,-0.016070746348186622,-0.016070746348186622,-0.0004698302442892212
3.5e-07,-3.690038297947586e-39,3.690038297947586e-39,0.0052534296738153356,-0.01787067876343751,-0.0063086245448110865,-0.0063086245448110865,-0.00046983003351187976
3.75e-07,-7.535073803345488e-39,7.535073803345488e-39,-0.019388572911579683,-0.02416062568796556,-0.021774599299772622,-0.021774599299772622,-0.0004698298233517445
4e-07,-1.38826080439273e-38,1.38826080439273e-38,0.0019128533230134523,-0.03161161312385417,-0.014849379900420357,-0.014849379900420357,-0.00046982961380751534
4.25e-07,-2.2819907050529763e-38,2.2819907050529763e-38,-0.002477982643523829,0.01680285042458877,0.007162433890532472,0.007162433890532472,-0.0004698294048779035
4.5e-07,-3.1958078970532213e-38,3.1958078970532213e-38,-0.01854217960313664,0.01307833411639756,-0.00273192274336954,-0.00273192274336954,-0.0004698291965616258
4.75e-07,-3.23045995541624e-38,3.23045995541624e-38,-0.0037228796310010167,-0.00776734722742363,-0.005745113429212323,-0.005745113429212323,-0.0004698289888574277
5e-07,2.063055597801895e-51,-2.063055597801895e-51,0.006599122287072648,0.006452056440900493,0.00652558936398657,0.00652558936398657,-0.00046982878176407864
5.25e-07,1.185351594928694e-37,-1.185351594928694e-37,7.354026484974124e-05,-0.007307709357908607,-0.003617084546529433,-0.003617084546529433,-0.0004698285752803582
5.5e-07,4.302752033611435e-37,-4.302752033611435e-37,-0.02077122673519396,0.006381254475900276,-0.007194986129646842,-0.007194986129646842,-0.00046982836940504723
5.75e-07,1.1273592966567216e-36,-1.1273592966567216e-36,-0.01603813532526021,0.026139402009498235,0.0050506333421190125,0.0050506333421190125,-0.0004698281641369233
6e-07,2.5165314831966616e-36,-2.5165314831966616e-36,0.004765648931760664,0.0019608530234384923,0.0033632509775995785,0.0033632509775995785,-0.00046982795947474014
6.25e-07,5.011891294667009e-36,-5.011891294667009e-36,-0.023800147798954806,-0.02300316778649117,-0.023401657792722987,-0.023401657792722987,-0.00046982775541724094
6.5e-07,9.005914767480934e-36,-9.005914767480934e-36,-0.00798189343988238,-0.022363324515114805,-0.015172608977498593,-0.015172608977498593,-0.00046982755196315896
6.75e-07,1.4438207512632693e-35,-1.4438207512632693e-35,0.0003831421657463145,0.023283866981019235,0.011833504573382775,0.011833504573382775,-0.00046982734911124265
7e-07,1.9720717498234615e-35,-1.9720717498234615e-35,0.018042345876736202,-0.025533439189530976,-0.0037455466563973867,-0.0037455466563973867,-0.00046982714686025765
7.25e-07,1.9442362942117795e-35,-1.9442362942117795e-35,-0.02290381275776012,0.023620190143147906,0.00035818869269389243,0.00035818869269389243,-0.00046982694520900233
7.5e-07,-1.6146933378489518e-48,1.6146933378489518e-48,0.0064214980173313225,0.009634992748795783,0.008028245383063553,0.008028245383063553,-0.00046982674415629833
7.75e-07,-6.786051457144263e-35,6.786051457144263e-35,0.0037886598107980916,0.0006538654200219482,0.0022212626154100197,0.0022212626154100197,-0.0004698265437009793
8e-07,-2.4024752182298344e-34,2.4024752182298344e-34,-0.0070193522683614715,-0.001918711098314181,-0.0044690316833378265,-0.0044690316833378265,-0.00046982634384187686
8.25e-07,-6.139282055785745e-34,6.139282055785745e-34,0.005647056254634635,-0.0022730639551128327,0.001686996149760901,0.001686996149760901,-0.0004698261445778087
8.5e-07,-1.3365962612504357e-33,1.3365962612504357e-33,0.008269253346832895,-0.025989325123102102,-0.008860035888134603,-0.008860035888134603,-0.0004698259459075724
8.75e-07,-2.596223966481131e-33,2.596223966481131e-33,-0.0002507276846146955,0.012253218776097127,0.006001245545741216,0.006001245545741216,-0.00046982574782995464
9e-07,-4.54999565893357e-33,4.54999565893357e-33,-0.01068403613062487,0.011326926529415794,0.000321445199395462,0.000321445199395462,-0.0004698255503437348
9.25e-07,-7.114412906955284e-33,7.114412906955284e-33,0.007671637442141035,1.4034555513203913e-05,0.0038428359988271193,0.0038428359988271193,-0.0004698253534477152
