a_m=0.009246010048290298,b_m=0.002648018873008202,c_m=0.008575913291890601
time_s,source_pressure_pa,receiver_pressure_pa,receiver_envelope_pa
2.3481818181818187e-06,0.018535193560264146,0.012916831202279504,0.017039703251109917
2.3563636363636366e-06,0.01999802330779953,0.01465915001426344,0.017855328180538657
2.364545454545455e-06,0.021330371697010082,0.01637189211741808,0.01870490970703858
2.372727272727273e-06,0.022501614406938587,0.018028314490983154,0.01958968310716682
2.3809090909090913e-06,0.023480632749661154,0.019599992108216353,0.020510743801500923
2.3890909090909096e-06,0.02423622420902285,0.0210570826644644,0.021469345863805306
2.3972727272727274e-06,0.024737550048569756,0.02236863630898387,0.022466668652014965
2.4054545454545457e-06,0.024954616273418075,0.02350294952806506,0.023503982800354893
2.413636363636364e-06,0.024858783392030088,0.02442796155308372,0.024582552497262617
2.421818181818182e-06,0.024423299589514367,0.02511169085419666,0.02570366382275761
2.4300000000000005e-06,0.023623851108328993,0.025522708438818098,0.02686866488675074
2.4381818181818187e-06,0.022439122850173326,0.025630643815406955,0.02807885718989876
2.4463636363636365e-06,0.020851361480046002,0.025406718620339646,0.02933567004437439
